,source,target,value
453,Cambodia,Kenya,1
454,Ghana,Kenya,1
455,Laos,Philippines,1
456,Cambodia,Laos,1
457,Cambodia,Kenya,1
458,Ghana,Kenya,1
459,Ghana,Guinea,1
460,Angola,Guinea,1
461,Angola,Mozambique,1
462,Cambodia,Laos,1
463,Cambodia,Kenya,1
464,Ghana,Kenya,1
465,Ghana,Guinea,1
466,Angola,Guinea,1
467,Angola,Mozambique,1
468,Ghana,Kenya,1
469,Ghana,Guinea,1
470,Angola,Guinea,1
471,Angola,Mozambique,1
472,Angola,Guinea,1
473,Angola,Mozambique,1
474,Angola,Guinea,1
475,Angola,Mozambique,1
476,Angola,Guinea,1
477,Angola,Mozambique,1
478,Estonia,Latvia,1
479,Estonia,Lithuania,1
480,Finland,Lithuania,1
481,Finland,Romania,1
482,Estonia,Latvia,1
483,Estonia,Lithuania,1
484,Finland,Lithuania,1
485,Finland,Romania,1
486,Albania,Romania,1
487,Albania,Bulgaria,1
488,Bulgaria,Poland,1
489,Poland,Romania,1
490,Hungary,Romania,1
491,Estonia,Latvia,1
492,Estonia,Lithuania,1
493,Finland,Lithuania,1
494,Finland,Romania,1
495,Albania,Romania,1
496,Albania,Bulgaria,1
497,Bulgaria,Poland,1
498,Poland,Romania,1
499,Hungary,Romania,1
500,Hungary,Mongolia,1
501,China,Mongolia,1
502,China,Cuba,1
503,Estonia,Latvia,1
504,Estonia,Lithuania,1
505,Finland,Lithuania,1
506,Finland,Romania,1
507,Albania,Romania,1
508,Albania,Bulgaria,1
509,Bulgaria,Poland,1
510,Poland,Romania,1
511,Hungary,Romania,1
512,Hungary,Mongolia,1
513,China,Mongolia,1
514,China,Cuba,1
515,Estonia,Latvia,1
516,Estonia,Lithuania,1
517,Finland,Lithuania,1
518,Finland,Romania,1
519,Albania,Romania,1
520,Albania,Bulgaria,1
521,Bulgaria,Poland,1
522,Poland,Romania,1
523,Hungary,Romania,1
524,Hungary,Mongolia,1
525,China,Mongolia,1
526,China,Cuba,1
527,Estonia,Latvia,1
528,Estonia,Lithuania,1
529,Finland,Lithuania,1
530,Finland,Romania,1
531,Albania,Romania,1
532,Albania,Bulgaria,1
533,Bulgaria,Poland,1
534,Poland,Romania,1
535,Hungary,Romania,1
536,Hungary,Mongolia,1
537,China,Mongolia,1
538,China,Cuba,1
539,Albania,Bulgaria,1
540,Bulgaria,Poland,1
541,Poland,Romania,1
542,Hungary,Romania,1
543,Hungary,Mongolia,1
544,China,Mongolia,1
545,China,Cuba,1
546,China,Mongolia,1
547,China,Cuba,1
548,Australia,Canada,1
549,Australia,Canada,1
550,Australia,Canada,1
